Altium Designer Pick and Place Locations
C:\Users\kevin.cotton\OneDrive - Cégep Limoilou\_Cours-TGE\243-577-Conception de systèmes\Projet Fin de Session\PCB-Hat-Pi5-Can-Pwm\243-5xx_PCB-Hat-Pi-CAN-PWM\.\Generate Files\Pick Place\243-5xx_Pi-CAN-PWM.csv

========================================================================================================================
File Design Information:

Date:       18-08-26
Time:       22:46
Revision:   dfe0ec8fa455f99d9428f72a606493a457f26288
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"P7","61300211121","TopLayer","CONN_HDR_2POS_100MILS_TH","14.0000","7.0000","90","CONN HEADER 2POS 100MIL"
"J1","7-534206-0","BottomLayer","CONN_Receptacle_2x20pos_100mil","32.5000","26.6000","0","CONN SOCKET 2x20POS 2.54mm"
"D1","AAA3528LSEEZGKQBKS","TopLayer","FP-AAA3528LSEEZGKQBKS-MFG","51.0000","18.0000","270","LED RGB CLEAR 4SMD"
"C7","CAP CER 100nF 50V 0402","TopLayer","C_1005[0402]","37.0000","21.0000","90","Capacitor type 1"
"C2","CAP CER 100nF 50V 0402","TopLayer","C_1005[0402]","24.6910","8.5768","90","Capacitor type 1"
"C1","CAP CER 100nF 50V 0402","TopLayer","C_1005[0402]","38.0000","10.5000","90","Capacitor type 1"
"C8","CAP CER 10uF 10V X7R 0805","TopLayer","C_2012[0805]","39.0000","5.5000","270","Capacitor type 1"
"C4","CAP CER 10uF 10V X7R 0805","TopLayer","C_2012[0805]","14.0000","16.5000","270","Capacitor type 1"
"C6","CAP CER 22pF 50V COG 0402","TopLayer","C_1005[0402]","27.2500","8.8231","180","Capacitor type 1"
"C5","CAP CER 22pF 50V COG 0402","TopLayer","C_1005[0402]","26.7786","3.1340","0","Capacitor type 1"
"R10","DNP","BottomLayer","R_1005[0402]","39.5000","18.0000","0","Resistor type 1"
"R9","DNP","BottomLayer","R_1005[0402]","39.5000","16.5000","0","Resistor type 1"
"Vext","DNP","TopLayer","TP_TH061","36.5000","2.5000","90","Pad TH 0.61mm diameter (AWG28)"
"GND","DNP","TopLayer","TP_TH061","31.5000","2.5000","0","Pad TH 0.61mm diameter (AWG28)"
"5V","DNP","TopLayer","TP_TH061","34.0000","2.5000","0","Pad TH 0.61mm diameter (AWG28)"
"3V3","DNP","TopLayer","TP_TH061","29.0000","2.5000","0","Pad TH 0.61mm diameter (AWG28)"
"U5","MCP2515-I/ST","TopLayer","TSSOP-ST20_N","33.2500","8.0000","0","Stand-Alone CAN Controller With SPI Interface, 20-Pin TSSOP, Industrial Temperature"
"U3","PCA9685PW","TopLayer","TSSOP28_SOT361-1_V","43.3000","17.7600","90","16-Channel, 12-Bit PWM I2C-Bus LED Controller, 28-Pin TSSOP (SOT361-1)"
"R8","Res 100R 1% 0603","TopLayer","R_1608[0603]","49.5000","13.5000","270","Resistor type 1"
"R5","Res 100R 1% 0603","TopLayer","R_1608[0603]","50.5000","21.5000","180","Resistor type 1"
"R4","Res 100R 1% 0603","TopLayer","R_1608[0603]","51.5000","13.5000","270","Resistor type 1"
"R12","Res 10k 1% 0402","TopLayer","R_1005[0402]","36.5000","18.0000","0","Resistor type 1"
"R11","Res 10k 1% 0402","TopLayer","R_1005[0402]","36.5000","16.5000","0","Resistor type 1"
"R7","Res 10k 1% 0402","TopLayer","R_1005[0402]","38.5000","22.6250","180","Resistor type 1"
"R6","Res 10k 1% 0402","TopLayer","R_1005[0402]","41.0000","23.0000","0","Resistor type 1"
"R2","Res 120R 1% 1206","TopLayer","R_3216[1206]","14.7568","11.6629","180","Resistor type 1"
"R3","Res 1k 1% 0402","TopLayer","R_1005[0402]","35.2500","12.6250","0","Resistor type 1"
"R1","Res 1k 1% 0402","TopLayer","R_1005[0402]","18.5000","4.0000","180","Resistor type 1"
"U4","SN65HVD230DR","TopLayer","FP-D0008A-IPC_A","20.0000","7.7500","180","IC TRANSCEIVER HALF 1/1 8SOIC"
"Y3","XC32M4-8.000-F18LJDT","TopLayer","Y_32x25SMD4","27.2500","6.0000","90","Crystal, 8MHz, 3.2 x 2.5 x 0.9 mm SMD"
"J4","ZX-DG28V-5.0-2P","TopLayer","CONN_TERM_BLOCK_2POS_5mm_Model1","58.0000","17.0000","270","CONN TERM BLOCK 2POS 5mm pitch"
"J2","ZX-DG28V-5.0-3P","TopLayer","CONN_TERM_BLOCK_3POS_5mm_Model1","6.3000","14.8000","90","CONN TERM BLOCK 3POS 5mm pitch"
"P12","ZX-PM2.54-1-6PY","TopLayer","CONN_SKT_01X06_100MIL","24.1300","15.2400","180","CONN SOCKET 6pos 100mils"
"P11","ZX-PM2.54-1-6PY","TopLayer","CONN_SKT_01X06_100MIL","24.1300","20.3200","0","CONN SOCKET 6pos 100mils"
"P4","ZX-PZ2.54-1-3PZZ","TopLayer","CONN_HDR_3POS_100MILS_TH","51.4500","5.5000","90","CONN HEADER 3pins single row, 100 mils TH"
"P1","ZX-PZ2.54-1-3PZZ","TopLayer","CONN_HDR_3POS_100MILS_TH","41.7000","5.5000","90","CONN HEADER 3pins single row, 100 mils TH"
"P5","ZX-PZ2.54-1-3PZZ","TopLayer","CONN_HDR_3POS_100MILS_TH","54.7000","5.5000","90","CONN HEADER 3pins single row, 100 mils TH"
"P3","ZX-PZ2.54-1-3PZZ","TopLayer","CONN_HDR_3POS_100MILS_TH","48.2000","5.5000","90","CONN HEADER 3pins single row, 100 mils TH"
"P2","ZX-PZ2.54-1-3PZZ","TopLayer","CONN_HDR_3POS_100MILS_TH","44.9500","5.5000","90","CONN HEADER 3pins single row, 100 mils TH"
