Altium Designer Pick and Place Locations
C:\Users\kevin.cotton\OneDrive - Cégep Limoilou\_Cours-TGE\247-616 (last) - Elaborer l integration et l installation de systemes ordines\Laboratoires\_Laboratoire3-Can\247-616_Pi-CAN-PCB\.\Generate Files\Pick Place\247-616_Pi-CAN.csv

========================================================================================================================
File Design Information:

Date:       02-07-25
Time:       22:17
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"J1","7-534206-0","BottomLayer","CONN_HDR_FEM_2x20pos_100mil","32.5000","26.6000","0","CONN RCPT 40POS 0.1"
"J2","950-DS/03","TopLayer","J_TERM_BLOCK_3POS_TH_5mm_Model2","6.3000","14.8000","90","CONN TERM BLOCK 3POS 5mm pitch"
"C2","Cap 100nF 0603","BottomLayer","C_1608[0603]","21.9000","9.8000","90","Capacitor type 1"
"C1","Cap 100nF 0603","BottomLayer","C_1608[0603]","30.1000","14.6000","90","Capacitor type 1"
"C4","Cap 10uF 0805","BottomLayer","C_2012[0805]","14.3000","15.7000","90","Capacitor type 1"
"C3","Cap 10uF 0805","BottomLayer","C_2012[0805]","14.3000","19.9000","270","Capacitor type 1"
"C6","Cap 22pF 0603","BottomLayer","C_1608[0603]","44.3000","3.4000","180","Capacitor type 1"
"C5","Cap 22pF 0603","BottomLayer","C_1608[0603]","50.5000","3.4000","0","Capacitor type 1"
"TX","DNP","TopLayer","TP_TH061","22.7000","18.4000","0","Pad TH 0.61mm diameter (AWG28)"
"SDA","DNP","TopLayer","TP_TH061","16.7000","20.4000","0","Pad TH 0.61mm diameter (AWG28)"
"SCL","DNP","TopLayer","TP_TH061","18.7000","20.4000","0","Pad TH 0.61mm diameter (AWG28)"
"RX","DNP","TopLayer","TP_TH061","22.7000","20.4000","0","Pad TH 0.61mm diameter (AWG28)"
"P12","DNP","TopLayer","TP_TH061","47.8000","22.0000","0","Pad TH 0.61mm diameter (AWG28)"
"P4","DNP","TopLayer","TP_TH061","20.7000","20.4000","0","Pad TH 0.61mm diameter (AWG28)"
"GND","DNP","TopLayer","TP_TH061","18.7000","18.4000","0","Pad TH 0.61mm diameter (AWG28)"
"5V","DNP","TopLayer","TP_TH061","16.7000","18.4000","0","Pad TH 0.61mm diameter (AWG28)"
"3V3","DNP","TopLayer","TP_TH061","20.7000","18.4000","0","Pad TH 0.61mm diameter (AWG28)"
"Y1","ECS-80-20-4X","TopLayer","Y_HC-49-US","47.5000","5.4000","0","Crystal 8MHz TH"
"U1","MCP2515-I/P","TopLayer","PDIP300-P18","41.3600","13.5900","90","CAN Controller Stand-Alone With SPI, 18-Pin PDIP"
"U2","MCP2551-I/P","TopLayer","PDIP300-P8","20.3000","9.8000","180","CAN Transceiver, 8-Pin PDIP,"
"R5","Res 10k 1% 0603","BottomLayer","R_1608[0603]","32.5500","11.7500","0","Resistor type 1"
"R3","Res 10k 1% 0603","BottomLayer","R_1608[0603]","32.6000","15.3000","180","Resistor type 1"
"R2","Res 120R 5% 1206","BottomLayer","R_3216[1206]","12.9000","9.8000","270","Resistor type 1"
"R1","Res 1k 1% 0603","BottomLayer","R_1608[0603]","18.8000","7.3000","270","Resistor type 1"
"R4","Res 5k1 1% 0603","BottomLayer","R_1608[0603]","32.5500","13.5000","0","Resistor type 1"
